Instance,UB,ObjValue,ExecutionTime,GAP,Group
VFR100_20_10_Gap,6145,7406,4.122830153,20.52074858,Large
VFR100_20_1_Gap,6198,7452,3.922451973,20.23233301,Large
VFR100_20_2_Gap,6306,7565,4.062921047,19.96511259,Large
VFR100_20_3_Gap,6238,7455,3.989415884,19.50945816,Large
VFR100_20_4_Gap,6245,7433,4.36370492,19.02321857,Large
VFR100_20_5_Gap,6296,7572,4.358118773,20.26683609,Large
VFR100_20_6_Gap,6321,7565,4.093546867,19.68043031,Large
VFR100_20_7_Gap,6434,7651,4.040686846,18.91513833,Large
VFR100_20_8_Gap,6104,7358,3.958578825,20.54390564,Large
VFR100_20_9_Gap,6354,7567,4.049061775,19.0903368,Large
VFR100_40_10_Gap,7952,9362,7.574912071,17.73138833,Large
VFR100_40_1_Gap,7881,9326,7.981929302,18.33523665,Large
VFR100_40_2_Gap,8007,9493,7.971482038,18.55876108,Large
VFR100_40_3_Gap,7935,9352,8.222572088,17.85759294,Large
VFR100_40_4_Gap,7932,9368,7.789495945,18.10388301,Large
VFR100_40_5_Gap,8011,9528,7.674129963,18.93646236,Large
VFR100_40_6_Gap,8023,9378,7.572236061,16.88894429,Large
VFR100_40_7_Gap,8006,9451,7.583482981,18.04896328,Large
VFR100_40_8_Gap,7979,9397,8.346966982,17.77165058,Large
VFR100_40_9_Gap,7931,9413,7.868366003,18.6861682,Large
VFR100_60_10_Gap,9598,11068,11.93104696,15.31569077,Large
VFR100_60_1_Gap,9395,10896,11.55733395,15.97658329,Large
VFR100_60_2_Gap,9596,11135,11.37596202,16.03793247,Large
VFR100_60_3_Gap,9349,11004,11.36613989,17.70242807,Large
VFR100_60_4_Gap,9426,11055,11.21897197,17.281986,Large
VFR100_60_5_Gap,9465,10964,11.14125514,15.8372953,Large
VFR100_60_6_Gap,9667,11164,11.3920033,15.48567291,Large
VFR100_60_7_Gap,9391,10946,11.09389591,16.55840699,Large
VFR100_60_8_Gap,9534,11115,11.99274778,16.58275645,Large
VFR100_60_9_Gap,9527,11019,11.58859515,15.66075365,Large
VFR10_10_10_Gap,1099,1116,1.065085173,1.546860783,Small
VFR10_10_1_Gap,1097,1128,1.051951885,2.825888788,Small
VFR10_10_2_Gap,1146,1146,1.049240828,0,Small
VFR10_10_3_Gap,1124,1131,1.075355053,0.622775801,Small
VFR10_10_4_Gap,1038,1056,1.040908098,1.734104046,Small
