Instance,UB,ObjValue,ExecutionTime,GAP,nxm
VFR500_20_10_Gap,26072,29120,21.22540188,11.69070267,500x20
VFR500_20_1_Gap,26411,30068,21.37342,13.84650335,500x20
VFR500_20_2_Gap,26681,29912,21.28732681,12.10974101,500x20
VFR500_20_3_Gap,26409,29708,20.92528105,12.4919535,500x20
VFR500_20_4_Gap,26124,29581,21.66406584,13.23304241,500x20
VFR500_20_5_Gap,26781,29925,22.13395786,11.73966618,500x20
VFR500_20_6_Gap,26443,29702,21.27498627,12.32462277,500x20
VFR500_20_7_Gap,26433,29887,21.50954533,13.06699958,500x20
VFR500_20_8_Gap,26318,29779,21.41579294,13.15069534,500x20
VFR500_20_9_Gap,26442,29963,21.28522396,13.31593677,500x20
VFR500_40_10_Gap,28758,33064,40.45792913,14.97322484,500x40
VFR500_40_1_Gap,28548,32827,41.07556796,14.98879081,500x40
VFR500_40_2_Gap,28793,33025,41.16522503,14.69801688,500x40
VFR500_40_3_Gap,28607,32815,40.81771493,14.70968644,500x40
VFR500_40_4_Gap,28828,33001,41.19368792,14.47550992,500x40
VFR500_40_5_Gap,28683,33221,40.73711205,15.82121814,500x40
VFR500_40_6_Gap,28524,32844,40.23425889,15.14514093,500x40
VFR500_40_7_Gap,28760,33044,41.26108122,14.89568846,500x40
VFR500_40_8_Gap,28698,33146,41.52548385,15.49933793,500x40
VFR500_40_9_Gap,28870,33135,42.39580011,14.77312089,500x40
VFR500_60_10_Gap,31050,35603,59.63843012,14.66344605,500x60
VFR500_60_1_Gap,30861,35329,59.23701572,14.4778199,500x60
VFR500_60_2_Gap,30828,35548,60.24662137,15.31075646,500x60
VFR500_60_3_Gap,31125,35805,62.02062416,15.03614458,500x60
VFR500_60_4_Gap,30928,35430,59.99952006,14.55638903,500x60
VFR500_60_5_Gap,30935,35536,59.97191477,14.87312106,500x60
VFR500_60_6_Gap,31027,35667,60.8824141,14.95471686,500x60
VFR500_60_7_Gap,30928,35707,59.94041181,15.45201759,500x60
VFR500_60_8_Gap,30988,35752,60.14479709,15.37369304,500x60
VFR500_60_9_Gap,30978,35555,59.25720501,14.77500161,500x60
VFR600_20_10_Gap,31130,34844,25.89117694,11.93061356,600x20
VFR600_20_1_Gap,31433,35011,25.87886596,11.38294149,600x20
VFR600_20_2_Gap,31418,35164,25.70294094,11.92310141,600x20
VFR600_20_3_Gap,31429,35328,25.23753715,12.40573992,600x20
VFR600_20_4_Gap,31547,34993,25.979316,10.92338416,600x20
VFR600_20_5_Gap,31448,35233,25.17655087,12.03574154,600x20
VFR600_20_6_Gap,31717,35271,26.98924327,11.20534729,600x20
VFR600_20_7_Gap,31527,35088,26.82820702,11.29508041,600x20
VFR600_20_8_Gap,31564,35172,25.86275792,11.43074389,600x20
VFR600_20_9_Gap,31577,35424,25.83607197,12.18291795,600x20
VFR600_40_10_Gap,33642,38833,48.31741619,15.43011712,600x40
VFR600_40_1_Gap,33839,38572,49.03899193,13.98681994,600x40
VFR600_40_2_Gap,33467,38542,50.0885179,15.16419159,600x40
VFR600_40_3_Gap,33866,38632,50.48049998,14.07311168,600x40
VFR600_40_4_Gap,33693,38642,48.84590912,14.68851097,600x40
VFR600_40_5_Gap,33553,38383,48.32062006,14.39513605,600x40
VFR600_40_6_Gap,33809,38629,47.98353386,14.2565589,600x40
VFR600_40_7_Gap,33686,38462,48.91243291,14.17799679,600x40
VFR600_40_8_Gap,33482,38112,48.7111733,13.82832567,600x40
VFR600_40_9_Gap,33697,38691,49.45256901,14.82031041,600x40
VFR600_60_10_Gap,36163,41497,73.35106683,14.74988248,600x60
VFR600_60_1_Gap,36198,41365,73.51951003,14.2742693,600x60
VFR600_60_2_Gap,36184,41252,74.02142429,14.00619058,600x60
VFR600_60_3_Gap,36201,41484,73.30583191,14.59351952,600x60
VFR600_60_4_Gap,36136,41452,73.17770815,14.71109143,600x60
VFR600_60_5_Gap,36153,41535,73.58812881,14.88673139,600x60
VFR600_60_6_Gap,36116,41297,73.27619886,14.34544246,600x60
VFR600_60_7_Gap,36179,41595,73.64235687,14.97001023,600x60
VFR600_60_8_Gap,36185,41268,72.92612219,14.04725715,600x60
VFR600_60_9_Gap,36195,41155,73.60736585,13.70355021,600x60
VFR700_20_10_Gap,36417,40330,29.85540891,10.74498174,700x20
VFR700_20_1_Gap,36394,40363,30.66767311,10.90564379,700x20
VFR700_20_2_Gap,36337,40505,30.83336997,11.47040207,700x20
VFR700_20_3_Gap,36568,40445,30.21256995,10.60216583,700x20
VFR700_20_4_Gap,36452,40471,30.46339202,11.02545814,700x20
VFR700_20_5_Gap,36584,40797,29.84020925,11.51596326,700x20
VFR700_20_6_Gap,36671,40851,31.06926894,11.39865289,700x20
VFR700_20_7_Gap,36624,40455,30.50984287,10.46035387,700x20
VFR700_20_8_Gap,36522,40834,30.17448807,11.80658233,700x20
VFR700_20_9_Gap,36329,40292,30.53471208,10.90864048,700x20
VFR700_40_10_Gap,38850,44380,58.20500708,14.23423423,700x40
