Instance,UB,ObjValue,ExecutionTime,GAP,nxm
VFR40_10_10_Gap,2478,2903,1.680881977,17.15092817,40x10
VFR40_10_1_Gap,2480,2864,1.688696146,15.48387097,40x10
VFR40_10_2_Gap,2444,2806,1.639325142,14.81178396,40x10
VFR40_10_3_Gap,2412,2810,1.61090827,16.50082919,40x10
VFR40_10_4_Gap,2472,2922,1.731849909,18.2038835,40x10
VFR40_10_5_Gap,2425,2847,1.643318176,17.40206186,40x10
VFR40_10_6_Gap,2547,2947,1.549122095,15.70475069,40x10
VFR40_10_7_Gap,2501,2952,1.562453032,18.03278689,40x10
VFR40_10_8_Gap,2491,2884,1.625586987,15.77679647,40x10
VFR40_10_9_Gap,2411,2860,1.707318783,18.62297802,40x10
VFR40_15_10_Gap,2945,3452,1.126522064,17.21561969,40x15
VFR40_15_1_Gap,3011,3535,1.169831038,17.40285619,40x15
VFR40_15_2_Gap,2821,3402,1.139379978,20.5955335,40x15
VFR40_15_3_Gap,2906,3450,1.137150288,18.71988988,40x15
VFR40_15_4_Gap,2919,3439,1.2622931,17.81431997,40x15
VFR40_15_5_Gap,2945,3420,1.261658907,16.12903226,40x15
VFR40_15_6_Gap,2805,3298,1.233238697,17.57575758,40x15
VFR40_15_7_Gap,2868,3398,1.263689041,18.47977685,40x15
VFR40_15_8_Gap,2900,3440,1.279434919,18.62068966,40x15
VFR40_15_9_Gap,2708,3246,1.206974983,19.86706056,40x15
VFR40_20_10_Gap,3122,3692,1.486965895,18.25752723,40x20
VFR40_20_1_Gap,3326,3862,1.495167971,16.115454,40x20
VFR40_20_2_Gap,3226,3860,1.520999193,19.65282083,40x20
VFR40_20_3_Gap,3233,3875,1.502506971,19.85771729,40x20
VFR40_20_4_Gap,3233,3855,1.549973011,19.23909681,40x20
VFR40_20_5_Gap,3055,3682,1.619898081,20.52373159,40x20
VFR40_20_6_Gap,3192,3710,1.570800066,16.22807018,40x20
VFR40_20_7_Gap,3244,3833,1.595602751,18.15659679,40x20
VFR40_20_8_Gap,3266,3811,1.639615059,16.687079,40x20
VFR40_20_9_Gap,3335,3903,1.555798054,17.03148426,40x20
VFR40_5_10_Gap,2348,2475,1.325525999,5.408858603,40x5
VFR40_5_1_Gap,2396,2495,1.349476099,4.131886477,40x5
VFR40_5_2_Gap,2442,2569,1.389374971,5.200655201,40x5
VFR40_5_3_Gap,2174,2324,1.418536901,6.899724011,40x5
VFR40_5_4_Gap,2149,2295,1.349979877,6.793857608,40x5
VFR40_5_5_Gap,2247,2405,1.295055866,7.031597686,40x5
VFR40_5_6_Gap,2154,2317,1.349696875,7.56731662,40x5
VFR40_5_7_Gap,2207,2375,1.429477215,7.612143181,40x5
VFR40_5_8_Gap,2414,2563,1.35431385,6.172328086,40x5
VFR40_5_9_Gap,2305,2489,1.413651943,7.982646421,40x5
VFR50_10_10_Gap,3056,3587,1.065878153,17.37565445,50x10
VFR50_10_1_Gap,2926,3435,1.098020792,17.39576213,50x10
VFR50_10_2_Gap,3035,3456,2.03211689,13.87149918,50x10
VFR50_10_3_Gap,3019,3540,1.080533028,17.25736999,50x10
VFR50_10_4_Gap,3003,3580,1.059252977,19.21411921,50x10
VFR50_10_5_Gap,3252,3633,2.019206762,11.71586716,50x10
VFR50_10_6_Gap,3149,3533,1.0237391,12.19434741,50x10
VFR50_10_7_Gap,2842,3374,1.027144909,18.71921182,50x10
VFR50_10_8_Gap,3072,3622,1.073408127,17.90364583,50x10
VFR50_10_9_Gap,3022,3496,1.031287193,15.68497684,50x10
VFR50_15_10_Gap,3399,4043,1.415183783,18.94674904,50x15
VFR50_15_1_Gap,3316,3956,1.410116911,19.30036188,50x15
VFR50_15_2_Gap,3347,3992,1.52867794,19.27098895,50x15
VFR50_15_3_Gap,3301,3981,1.434612036,20.59981824,50x15
VFR50_15_4_Gap,3521,4114,1.456562042,16.84180631,50x15
VFR50_15_5_Gap,3334,4030,1.462362289,20.87582484,50x15
VFR50_15_6_Gap,3346,3947,1.481917143,17.96174537,50x15
VFR50_15_7_Gap,3490,4179,1.483712196,19.74212034,50x15
VFR50_15_8_Gap,3430,4126,1.456057072,20.29154519,50x15
VFR50_15_9_Gap,3205,3833,1.522852182,19.59438378,50x15
VFR50_20_10_Gap,3769,4522,1.907703161,19.97877421,50x20
VFR50_20_1_Gap,3693,4425,1.913918972,19.82128351,50x20
VFR50_20_2_Gap,3719,4316,2.449077129,16.05270234,50x20
VFR50_20_3_Gap,3784,4432,1.924112082,17.12473573,50x20
VFR50_20_4_Gap,3709,4381,1.953274727,18.11809113,50x20
VFR50_20_5_Gap,3632,4400,1.936312914,21.14537445,50x20
VFR50_20_6_Gap,3795,4494,1.939480066,18.41897233,50x20
VFR50_20_7_Gap,3696,4459,1.988260984,20.64393939,50x20
VFR50_20_8_Gap,3783,4408,1.87541604,16.52127941,50x20
VFR50_20_9_Gap,3816,4609,1.910067081,20.78092243,50x20
VFR50_5_10_Gap,2834,3065,1.061809063,8.151023289,50x5
VFR50_5_1_Gap,3055,3204,1.090661764,4.877250409,50x5
VFR50_5_2_Gap,2853,2981,1.044054031,4.486505433,50x5
VFR50_5_3_Gap,2746,2924,1.103751898,6.482155863,50x5
VFR50_5_4_Gap,2836,3036,1.100372791,7.052186178,50x5
VFR50_5_5_Gap,2866,3040,1.104005098,6.071179344,50x5
VFR50_5_6_Gap,2841,2945,1.152257204,3.660682858,50x5
VFR50_5_7_Gap,2600,2768,1.094871044,6.461538462,50x5
VFR50_5_8_Gap,2684,2906,1.114372969,8.27123696,50x5
VFR50_5_9_Gap,2621,2816,1.074754,7.439908432,50x5
VFR60_10_10_Gap,3492,4103,1.237620354,17.49713631,60x10
VFR60_10_1_Gap,3435,4061,1.263329029,18.22416303,60x10
VFR60_10_2_Gap,3655,4087,1.23509717,11.81942544,60x10
VFR60_10_3_Gap,3423,3995,1.233536005,16.71048788,60x10
VFR60_10_4_Gap,3455,4053,1.230411768,17.30824891,60x10
VFR60_10_5_Gap,3505,4185,1.227749825,19.40085592,60x10
VFR60_10_6_Gap,3594,4227,1.252766848,17.61268781,60x10
VFR60_10_7_Gap,3654,4281,1.214434147,17.1592775,60x10
VFR60_10_8_Gap,3552,4071,1.23800993,14.61148649,60x10
VFR60_10_9_Gap,3685,4060,1.230809212,10.17639077,60x10
VFR60_15_10_Gap,3902,4679,1.803347111,19.9128652,60x15
VFR60_15_1_Gap,3940,4638,1.827296972,17.71573604,60x15
VFR60_15_2_Gap,3888,4555,1.759318829,17.15534979,60x15
VFR60_15_3_Gap,3880,4715,1.824074984,21.52061856,60x15
VFR60_15_4_Gap,3716,4496,1.844292164,20.99031216,60x15
VFR60_15_5_Gap,3881,4612,1.803499937,18.83535171,60x15
VFR60_15_6_Gap,3893,4680,1.846686363,20.2157719,60x15
VFR60_15_7_Gap,3809,4597,1.844281912,20.68784458,60x15
VFR60_15_8_Gap,3749,4533,1.818059921,20.91224326,60x15
VFR60_15_9_Gap,3800,4420,1.797724247,16.31578947,60x15
VFR60_20_10_Gap,4202,5161,2.329545975,22.82246549,60x20
VFR60_20_1_Gap,4163,4978,2.353025913,19.57722796,60x20
VFR60_20_2_Gap,4290,5101,2.36328721,18.9044289,60x20
VFR60_20_3_Gap,4365,5236,2.366413116,19.95418099,60x20
VFR60_20_4_Gap,4193,5106,2.338889122,21.77438588,60x20
VFR60_20_5_Gap,4196,5049,2.375812054,20.32888465,60x20
VFR60_20_6_Gap,4202,4994,2.335430861,18.84816754,60x20
VFR60_20_7_Gap,4263,5091,2.338425159,19.42294159,60x20
VFR60_20_8_Gap,4180,5109,2.39031601,22.22488038,60x20
VFR60_20_9_Gap,4221,5089,2.442882061,20.56384743,60x20
VFR60_5_10_Gap,3663,3709,1.24917388,1.255801256,60x5
VFR60_5_1_Gap,3350,3553,1.277118206,6.059701493,60x5
VFR60_5_2_Gap,3054,3324,1.326332092,8.84086444,60x5
VFR60_5_3_Gap,3214,3415,1.335062981,6.253889235,60x5
VFR60_5_4_Gap,3266,3555,1.288317919,8.848744642,60x5
VFR60_5_5_Gap,3197,3436,1.305171967,7.475758524,60x5
VFR60_5_6_Gap,3107,3316,1.332597017,6.726746057,60x5
VFR60_5_7_Gap,3315,3539,1.294468164,6.757164404,60x5
VFR60_5_8_Gap,3438,3624,1.289119959,5.410122164,60x5
VFR60_5_9_Gap,3121,3304,1.342817783,5.863505287,60x5
